('Embarcadero at Sansome', Trip(trip_id=4388, duration=3582, start_date=datetime.datetime(2013, 8, 29, 12, 33), start_station_name='Embarcadero at Sansome', start_station_id=60, end_date=datetime.datetime(2013, 8, 29, 13, 33), end_station_name='San Francisco City Hall', end_station_id=58, bike_id=462, subscription_type='Customer', zip_code='21144'))
('Evelyn Park and Ride', Trip(trip_id=4743, duration=267, start_date=datetime.datetime(2013, 8, 29, 16, 51), start_station_name='Evelyn Park and Ride', start_station_id=30, end_date=datetime.datetime(2013, 8, 29, 16, 55), end_station_name='Mountain View Caltrain Station', end_station_id=28, bike_id=54, subscription_type='Customer', zip_code='94107'))
('Davis at Jackson', Trip(trip_id=4302, duration=2138, start_date=datetime.datetime(2013, 8, 29, 11, 58), start_station_name='Davis at Jackson', start_station_id=42, end_date=datetime.datetime(2013, 8, 29, 12, 33), end_station_name='Market at 4th', end_station_id=76, bike_id=615, subscription_type='Subscriber', zip_code='94129'))
('Palo Alto Caltrain Station', Trip(trip_id=4373, duration=1083, start_date=datetime.datetime(2013, 8, 29, 12, 22), start_station_name='Palo Alto Caltrain Station', start_station_id=34, end_date=datetime.datetime(2013, 8, 29, 12, 40), end_station_name='University and Emerson', end_station_id=35, bike_id=83, subscription_type='Subscriber', zip_code='94117'))
('Embarcadero at Bryant', Trip(trip_id=4558, duration=298, start_date=datetime.datetime(2013, 8, 29, 13, 57), start_station_name='Embarcadero at Bryant', start_station_id=54, end_date=datetime.datetime(2013, 8, 29, 14, 2), end_station_name='Harry Bridges Plaza (Ferry Building)', end_station_id=50, bike_id=275, subscription_type='Subscriber', zip_code='94109'))
('Cowper at University', Trip(trip_id=4298, duration=460, start_date=datetime.datetime(2013, 8, 29, 12, 2), start_station_name='Cowper at University', start_station_id=37, end_date=datetime.datetime(2013, 8, 29, 12, 10), end_station_name='University and Emerson', end_station_id=35, bike_id=9, subscription_type='Subscriber', zip_code='94025'))
('Embarcadero at Folsom', Trip(trip_id=4346, duration=724, start_date=datetime.datetime(2013, 8, 29, 12, 14), start_station_name='Embarcadero at Folsom', start_station_id=51, end_date=datetime.datetime(2013, 8, 29, 12, 26), end_station_name='San Francisco Caltrain (Townsend at 4th)', end_station_id=70, bike_id=267, subscription_type='Subscriber', zip_code='94127'))
('St James Park', Trip(trip_id=4612, duration=376, start_date=datetime.datetime(2013, 8, 29, 14, 46), start_station_name='St James Park', start_station_id=13, end_date=datetime.datetime(2013, 8, 29, 14, 53), end_station_name='Japantown', end_station_id=9, bike_id=188, subscription_type='Subscriber', zip_code='95112'))
('Paseo de San Antonio', Trip(trip_id=4528, duration=12280, start_date=datetime.datetime(2013, 8, 29, 13, 39), start_station_name='Paseo de San Antonio', start_station_id=7, end_date=datetime.datetime(2013, 8, 29, 17, 4), end_station_name='Adobe on Almaden', end_station_id=5, bike_id=645, subscription_type='Subscriber', zip_code='94536'))
('San Antonio Caltrain Station', Trip(trip_id=4601, duration=953, start_date=datetime.datetime(2013, 8, 29, 14, 33), start_station_name='San Antonio Caltrain Station', start_station_id=29, end_date=datetime.datetime(2013, 8, 29, 14, 49), end_station_name='Mountain View Caltrain Station', end_station_id=28, bike_id=165, subscription_type='Subscriber', zip_code='94301'))
('SJSU 4th at San Carlos', Trip(trip_id=4394, duration=1309, start_date=datetime.datetime(2013, 8, 29, 12, 34), start_station_name='SJSU 4th at San Carlos', start_station_id=12, end_date=datetime.datetime(2013, 8, 29, 12, 56), end_station_name='San Salvador at 1st', end_station_id=8, bike_id=46, subscription_type='Subscriber', zip_code='95112'))
('Franklin at Maple', Trip(trip_id=4957, duration=1969, start_date=datetime.datetime(2013, 8, 29, 19, 17), start_station_name='Franklin at Maple', start_station_id=21, end_date=datetime.datetime(2013, 8, 29, 19, 50), end_station_name='Franklin at Maple', end_station_id=21, bike_id=159, subscription_type='Customer', zip_code='94063'))
('SJSU - San Salvador at 9th', Trip(trip_id=6210, duration=608, start_date=datetime.datetime(2013, 8, 30, 17, 15), start_station_name='SJSU - San Salvador at 9th', start_station_id=16, end_date=datetime.datetime(2013, 8, 30, 17, 26), end_station_name='San Salvador at 1st', end_station_id=8, bike_id=12, subscription_type='Customer', zip_code='95112'))
('Broadway at Main', Trip(trip_id=6483, duration=221, start_date=datetime.datetime(2013, 8, 31, 0, 23), start_station_name='Broadway at Main', start_station_id=25, end_date=datetime.datetime(2013, 8, 31, 0, 27), end_station_name='Franklin at Maple', end_station_id=21, bike_id=207, subscription_type='Subscriber', zip_code='94063'))
('Post at Kearny', Trip(trip_id=198954, duration=737, start_date=datetime.datetime(2014, 3, 1, 12, 34), start_station_name='Post at Kearny', start_station_id=47, end_date=datetime.datetime(2014, 3, 1, 12, 47), end_station_name='Townsend at 7th', end_station_id=65, bike_id=479, subscription_type='Subscriber', zip_code='94108'))
('Santa Clara County Civic Center', Trip(trip_id=206440, duration=169308, start_date=datetime.datetime(2014, 3, 8, 13, 49), start_station_name='Santa Clara County Civic Center', start_station_id=80, end_date=datetime.datetime(2014, 3, 10, 13, 51), end_station_name='California Ave Caltrain Station', end_station_id=36, bike_id=242, subscription_type='Customer', zip_code='95035'))
